id,GDP总量(万亿元),人均GDP（万元）,第三产业占比（%）,规模以上工业总资产增加值（亿元）,工业能源消耗（万吨标准煤）,工业产值增加量（亿元）,单位工业产值能耗（吨标准煤/万元）,焦炭产量(万吨),农业总产值（亿元）,耕地面积（千公顷）,单位耕地化肥施用量(公斤/公顷),水利种植畜牧碳排放（mt）,农业机械总动力(万千瓦),居民人均可支配收入（元）,居民生活用电量（亿千瓦时）,民用汽车保有量（万辆）,电力蒸汽热水供应碳排放（mt）,造林总面积(千公顷),人均公园绿地面积(平方米/人),建成区绿地覆盖率,能源消费总量（万吨标准煤）,表观总碳排放(mt),单位GDP碳排放强度(吨/万元)
2014,1.2096,3.3592,37.8877,779.4265,7872.6645,4527.8936,1.2554,802.8040,3193.5959,5305.1620,474.9009,9.3061,5155.5153,17404.0016,163.9039,322.7561,127.9796,101.1127,12.1299,35.9614,11954.9122,350.3095,2.8712
2015,1.1846,3.2941,43.1096,412.7366,6527.2419,3593.9261,1.6752,687.4351,3156.8526,5531.0218,461.5052,9.8918,5442.3204,18592.9884,167.5859,351.8648,126.3456,134.8064,11.9268,35.7141,12126.1284,347.9724,3.0202
2016,1.1910,3.3676,45.8944,-455.9538,6612.9574,3367.2720,1.9221,674.5967,3189.8552,5932.3872,426.1313,11.6668,5634.1764,19838.0440,172.6994,393.9530,134.2182,93.3513,11.8703,35.6088,12280.6903,365.1292,3.0017
2017,1.2228,3.5483,47.4980,-411.3810,6625.8092,3226.0476,2.0292,761.0884,3471.1594,6031.3101,416.6640,12.3171,5813.9521,21205.8803,181.4974,435.6168,148.0598,97.1545,11.9507,35.6531,12535.2889,355.0002,2.8740
2018,1.2740,3.8048,48.8668,441.1840,5948.8600,3266.9271,2.0300,876.0670,3634.8944,6119.4593,400.9378,12.1293,6084.3444,22726.2469,184.3712,477.0876,150.8800,96.9914,12.1582,35.8544,11436.2655,339.1666,2.6953
2019,1.3383,4.1057,49.7114,1414.8416,6282.3166,3333.6001,1.9576,1075.5332,3774.8108,6177.4294,361.8749,12.0602,6359.4688,24253.6208,182.6880,516.4758,164.7374,118.0772,12.4832,36.2201,11613.5544,340.6823,2.5238
2020,1.4098,4.4197,49.5889,841.8246,6320.7223,3122.2311,1.8454,1063.0383,4043.7079,6171.9198,363.1545,13.1450,6774.7167,24902.4149,194.8220,555.0266,169.7593,121.3200,12.9159,36.7578,11525.3748,337.1287,2.4177
2021,1.4824,4.7154,48.8033,1411.6546,6754.5952,3750.7084,1.7266,1234.6159,4099.9007,6220.2375,384.0999,13.0237,6912.3752,27158.6998,199.0306,592.4293,180.0141,95.7086,13.4465,37.4748,12191.4302,358.4614,2.4352
2022,1.5499,4.9614,48.5380,1529.2226,6455.3829,4198.4131,1.6346,1112.4920,4320.3228,6153.0184,387.6918,-4.3224,7090.7841,28346.1267,206.9725,627.6250,222.4857,75.4546,14.0655,38.3786,12035.0675,451.6337,2.6345
2023,1.6064,5.1263,50.6137,785.3044,6388.9848,3963.5808,1.6025,889.2800,4200.4103,6238.4745,382.4474,-58.3266,7339.5866,29693.9766,208.6491,659.5550,324.1583,82.9832,14.7630,39.4768,12067.2877,663.5991,3.0739
2024,1.6457,5.1788,55.4345,-515.3454,8269.8746,2864.5272,1.6636,661.9596,2938.8102,6884.9250,388.2683,-168.4225,7546.1767,33917.1324,185.0200,687.1605,512.0156,135.3466,15.5293,40.7767,14255.7842,1041.3110,3.8114
